lambda,client,rmse
0.0,0,1.416443
0.0,1,1.3338022
0.0,2,1.0306019
0.0,3,1.3906388
0.0,4,1.0905917
0.0,5,1.8221288
0.0,6,1.9545273
0.0,7,1.0415746
0.0,8,1.1696343
0.0,9,1.3817493
0.01,0,1.0676339
0.01,1,0.987443
0.01,2,0.9626688
0.01,3,1.0869282
0.01,4,1.0154856
0.01,5,1.1694814
0.01,6,0.9101558
0.01,7,0.9364417
0.01,8,1.0153494
0.01,9,1.0355686
0.05,0,1.0789149
0.05,1,0.9899592
0.05,2,0.9481971
0.05,3,1.090923
0.05,4,0.99801505
0.05,5,1.1630723
0.05,6,0.90939236
0.05,7,0.94126874
0.05,8,1.0122325
0.05,9,1.0356493
0.1,0,1.0862626
0.1,1,0.98599035
0.1,2,0.95992386
0.1,3,1.0935501
0.1,4,0.9968452
0.1,5,1.1577511
0.1,6,0.9367439
0.1,7,0.9450631
0.1,8,1.0187919
0.1,9,1.0409335
0.2,0,1.085469
0.2,1,0.9977114
0.2,2,0.9520353
0.2,3,1.0973821
0.2,4,1.0000842
0.2,5,1.1669421
0.2,6,0.95962995
0.2,7,0.93961096
0.2,8,1.0016384
0.2,9,1.0451007
0.5,0,1.0905262
0.5,1,0.9923096
0.5,2,0.95294666
0.5,3,1.0968001
0.5,4,1.0027962
0.5,5,1.1688625
0.5,6,1.0199962
0.5,7,0.9353999
0.5,8,1.008016
0.5,9,1.0399343
1.0,0,1.0920422
1.0,1,0.99248266
1.0,2,0.93992054
1.0,3,1.1109916
1.0,4,1.0083508
1.0,5,1.1736146
1.0,6,1.084224
1.0,7,0.9312772
1.0,8,1.0106851
1.0,9,1.0442643
2.0,0,1.0901955
2.0,1,0.98483735
2.0,2,0.9416076
2.0,3,1.093465
2.0,4,0.9973981
2.0,5,1.1691632
2.0,6,1.1592407
2.0,7,0.93618923
2.0,8,1.0055852
2.0,9,1.0381532
